"network,geoname_id,continent_code,continent_name,country_iso_code,country_name,is_anonymous_proxy,is_satellite_provider"
"1.2.3.0/24,6252001,NA,North America,US,United States,False,False"
"3.0.0.0/10,6252001,NA,North America,US,United States,False,False"
"3.64.0.0/11,6252001,NA,North America,US,United States,False,False"
"3.96.0.0/14,6252001,NA,North America,US,United States,False,False"
"3.100.0.0/15,6252001,NA,North America,US,United States,False,False"
"3.102.0.0/16,6252001,NA,North America,US,United States,False,False"
"3.103.0.0/21,6252001,NA,North America,US,United States,False,False"
"3.103.8.0/27,6252001,NA,North America,US,United States,False,False"
"3.103.8.32/30,6252001,NA,North America,US,United States,False,False"
"3.103.8.36/32,6252001,NA,North America,US,United States,False,False"
"3.103.8.38/31,6252001,NA,North America,US,United States,False,False"
"3.103.8.40/29,6252001,NA,North America,US,United States,False,False"
"3.103.8.48/28,6252001,NA,North America,US,United States,False,False"
"3.103.8.64/26,6252001,NA,North America,US,United States,False,False"
"3.103.8.128/25,6252001,NA,North America,US,United States,False,False"
"3.103.9.0/24,6252001,NA,North America,US,United States,False,False"
"3.103.10.0/23,6252001,NA,North America,US,United States,False,False"
"3.103.12.0/22,6252001,NA,North America,US,United States,False,False"
"3.103.16.0/20,6252001,NA,North America,US,United States,False,False"
"3.103.32.0/19,6252001,NA,North America,US,United States,False,False"
"3.103.64.0/18,6252001,NA,North America,US,United States,False,False"
"3.103.128.0/17,6252001,NA,North America,US,United States,False,False"
"3.104.0.0/13,6252001,NA,North America,US,United States,False,False"
"3.112.0.0/12,6252001,NA,North America,US,United States,False,False"
"3.128.0.0/9,6252001,NA,North America,US,United States,False,False"
"4.0.0.0/12,6252001,NA,North America,US,United States,False,False"
"4.16.0.0/15,6252001,NA,North America,US,United States,False,False"
"4.18.0.0/18,6252001,NA,North America,US,United States,False,False"
"4.18.64.0/23,6252001,NA,North America,US,United States,False,False"
"4.18.68.0/22,6252001,NA,North America,US,United States,False,False"
"4.18.72.0/21,6252001,NA,North America,US,United States,False,False"
"4.18.80.0/20,6252001,NA,North America,US,United States,False,False"
"4.18.96.0/19,6252001,NA,North America,US,United States,False,False"
"4.18.128.0/17,6252001,NA,North America,US,United States,False,False"
"4.19.0.0/16,6252001,NA,North America,US,United States,False,False"
"4.20.0.0/14,6252001,NA,North America,US,United States,False,False"
"4.24.0.0/14,6252001,NA,North America,US,United States,False,False"
"4.28.0.0/18,6252001,NA,North America,US,United States,False,False"
"4.28.64.0/19,6252001,NA,North America,US,United States,False,False"
"4.28.96.0/20,6252001,NA,North America,US,United States,False,False"
"4.28.112.0/23,6252001,NA,North America,US,United States,False,False"
"4.28.115.0/24,6252001,NA,North America,US,United States,False,False"
"4.28.116.0/22,6252001,NA,North America,US,United States,False,False"
"4.28.120.0/21,6252001,NA,North America,US,United States,False,False"
"4.28.128.0/17,6252001,NA,North America,US,United States,False,False"
"4.29.0.0/16,6252001,NA,North America,US,United States,False,False"
"4.30.0.0/15,6252001,NA,North America,US,United States,False,False"
"4.32.0.0/12,6252001,NA,North America,US,United States,False,False"
"4.48.0.0/13,6252001,NA,North America,US,United States,False,False"
"4.56.0.0/15,6252001,NA,North America,US,United States,False,False"
"4.58.0.0/16,6252001,NA,North America,US,United States,False,False"
"4.59.0.0/17,6252001,NA,North America,US,United States,False,False"
"4.59.128.0/19,6252001,NA,North America,US,United States,False,False"
"4.59.160.0/20,6252001,NA,North America,US,United States,False,False"
"4.59.177.0/24,6252001,NA,North America,US,United States,False,False"
"4.59.178.0/23,6252001,NA,North America,US,United States,False,False"
"4.59.180.0/22,6252001,NA,North America,US,United States,False,False"
"4.59.184.0/21,6252001,NA,North America,US,United States,False,False"
"4.59.192.0/18,6252001,NA,North America,US,United States,False,False"
"4.60.0.0/14,6252001,NA,North America,US,United States,False,False"
"4.64.0.0/14,6252001,NA,North America,US,United States,False,False"
"4.68.0.0/20,6252001,NA,North America,US,United States,False,False"
"4.68.16.0/22,6252001,NA,North America,US,United States,False,False"
"4.68.20.0/23,6252001,NA,North America,US,United States,False,False"
"4.68.22.0/24,6252001,NA,North America,US,United States,False,False"
"4.68.23.0/25,6252001,NA,North America,US,United States,False,False"
"4.68.23.128/29,6252001,NA,North America,US,United States,False,False"
"4.68.23.136/30,6252001,NA,North America,US,United States,False,False"
